"Acetone, ChemicalCompoundElement, "
"Hyundai Motor Company, CompanyParentOrganization, "
"Industrieverband Fahrzeugbau, CompanyParentOrganization, "
"Industrija Motornih Vozil, CompanyParentOrganization, "
"Itala, CompanyParentOrganization, "
"Jensen Motors, CompanyParentOrganization, "
"Kaipan, CompanyParentOrganization, "
"Kia, CompanyParentOrganization, "
"Kojima Engineering, CompanyParentOrganization, "
"La Ponette, CompanyParentOrganization, "
"Lada Zapad Tolyatti, CompanyParentOrganization, "
"Lagonda, CompanyParentOrganization, "
"Locomobile Company of America, CompanyParentOrganization, "
"Lotus Cars, CompanyParentOrganization, Lotus"
"MG Car Company Limited, CompanyParentOrganization, "
"Moskvitch, CompanyParentOrganization, "
"NSU, CompanyParentOrganization, "
"Nardi, CompanyParentOrganization, "
"Peugeot, CompanyParentOrganization, "
"Saipa, CompanyParentOrganization, "
"Scripps-Booth, CompanyParentOrganization, "
"Simca, CompanyParentOrganization, "
"Società Torinese Automobili Elettrici, CompanyParentOrganization, "
"Towarzystwo Budowy Samochodów AS, CompanyParentOrganization, "
"Valmet Automotive, CompanyParentOrganization, "
"Velorex, CompanyParentOrganization, "
"Volkswagen, CompanyParentOrganization, "
"Yamaha Motor Company, CompanyParentOrganization, Japan"
"Zanella Fratelli, CompanyParentOrganization, "
"Élan Motorsport Technologies, CompanyParentOrganization, "
"Andorra, CountryBordersWithCountry, "
"Angola, CountryBordersWithCountry, "
"Australia, CountryBordersWithCountry, "
"Bahrain, CountryBordersWithCountry, "
"Barbados, CountryBordersWithCountry, "
"Belize, CountryBordersWithCountry, Guatemala"
"Bolivia, CountryBordersWithCountry, Peru"
"Bosnia and Herzegovina, CountryBordersWithCountry, Croatia"
"Bulgaria, CountryBordersWithCountry, "
"Central African Republic, CountryBordersWithCountry, "
"Comoros, CountryBordersWithCountry, "
"Costa Rica, CountryBordersWithCountry, "
"Cuba, CountryBordersWithCountry, "
"Djibouti, CountryBordersWithCountry, Ethiopia"
"Dominican Republic, CountryBordersWithCountry, Haiti"
"Eritrea, CountryBordersWithCountry, Ethiopia"
"Estonia, CountryBordersWithCountry, "
"Gambia, CountryBordersWithCountry, "
"Georgia, CountryBordersWithCountry, "
"Germany, CountryBordersWithCountry, "
"Ghana, CountryBordersWithCountry, "
"Grenada, CountryBordersWithCountry, "
"Guyana, CountryBordersWithCountry, "
"Ivory Coast, CountryBordersWithCountry, "
"Japan, CountryBordersWithCountry, "
"Kingdom of Denmark, CountryBordersWithCountry, "
"Kingdom of the Netherlands, CountryBordersWithCountry, "
"Morocco, CountryBordersWithCountry, "
"Mozambique, CountryBordersWithCountry, "
"Myanmar, CountryBordersWithCountry, "
"Pakistan, CountryBordersWithCountry, India"
"Poland, CountryBordersWithCountry, "
"Portugal, CountryBordersWithCountry, "
"Rwanda, CountryBordersWithCountry, Uganda"
"Saint Vincent and the Grenadines, CountryBordersWithCountry, "
"Samoa, CountryBordersWithCountry, "
"San Marino, CountryBordersWithCountry, "
"Saudi Arabia, CountryBordersWithCountry, "
"Somalia, CountryBordersWithCountry, Ethiopia"
"Thailand, CountryBordersWithCountry, "
"Togo, CountryBordersWithCountry, "
"Turkey, CountryBordersWithCountry, "
"Uganda, CountryBordersWithCountry, Kenya"
"United kingdom, CountryBordersWithCountry, "
"Uzbekistan, CountryBordersWithCountry, "
"Venezuela, CountryBordersWithCountry, Colombia"
"Zimbabwe, CountryBordersWithCountry, "
"Afghanistan, CountryOfficialLanguage, Persian"
"Argentina, CountryOfficialLanguage, Spanish"
"Australia, CountryOfficialLanguage, English"
"Austria, CountryOfficialLanguage, German"
"Bahamas, CountryOfficialLanguage, English"
"Botswana, CountryOfficialLanguage, English"
"Brunei, CountryOfficialLanguage, English"
"Burkina Faso, CountryOfficialLanguage, French"
"Burundi, CountryOfficialLanguage, "
"Cameroon, CountryOfficialLanguage, French"
"Central African Republic, CountryOfficialLanguage, French"
"Colombia, CountryOfficialLanguage, Spanish"
"Costa Rica, CountryOfficialLanguage, Spanish"
"Croatia, CountryOfficialLanguage, Croatian"
"East Timor, CountryOfficialLanguage, Indonesian"
"Finland, CountryOfficialLanguage, Finnish"
"France, CountryOfficialLanguage, French"
"Gambia, CountryOfficialLanguage, English"
"Grenada, CountryOfficialLanguage, English"
"Guyana, CountryOfficialLanguage, English"
"Iceland, CountryOfficialLanguage, Icelandic"
"India, CountryOfficialLanguage, Hindi"
"Israel, CountryOfficialLanguage, Hebrew"
"Jamaica, CountryOfficialLanguage, English"
"Jordan, CountryOfficialLanguage, Arabic"
"Kazakhstan, CountryOfficialLanguage, Russian"
"Latvia, CountryOfficialLanguage, Latvian"
"Liechtenstein, CountryOfficialLanguage, German"
"Maldives, CountryOfficialLanguage, "
"Mozambique, CountryOfficialLanguage, Portuguese"
"Nicaragua, CountryOfficialLanguage, Spanish"
"Niger, CountryOfficialLanguage, French"
"North Macedonia, CountryOfficialLanguage, Macedonian"
"Norway, CountryOfficialLanguage, Norwegian"
"Pakistan, CountryOfficialLanguage, Urdu"
"Panama, CountryOfficialLanguage, Spanish"
"People's Republic of China, CountryOfficialLanguage, Mandarin"
"Philippines, CountryOfficialLanguage, Filipino"
"Qatar, CountryOfficialLanguage, Arabic"
"Rwanda, CountryOfficialLanguage, English"
"San Marino, CountryOfficialLanguage, Italian"
"Sierra Leone, CountryOfficialLanguage, English"
"São Tomé and Príncipe, CountryOfficialLanguage, Portuguese"
"Taiwan, CountryOfficialLanguage, Mandarin"
"Tajikistan, CountryOfficialLanguage, "
"Yemen, CountryOfficialLanguage, Arabic"
"Zimbabwe, CountryOfficialLanguage, English"
"Adele, PersonCauseOfDeath, "
"Ahmed Zewail, PersonCauseOfDeath, "
"Aretha Franklin, PersonCauseOfDeath, cancer"
"Avicii, PersonCauseOfDeath, "
"Benjamin Netanyahu, PersonCauseOfDeath, cancer"
"Bill Gates, PersonCauseOfDeath, "
"Boris Johnson, PersonCauseOfDeath, cancer"
"Christina Grimmie, PersonCauseOfDeath, "
"Christine Lagarde, PersonCauseOfDeath, "
"Cory Monteith, PersonCauseOfDeath, "
"Dilip Kumar, PersonCauseOfDeath, "
"Donald Knuth, PersonCauseOfDeath, "
"Emmanuel Macron, PersonCauseOfDeath, "
"Ennio Morricone, PersonCauseOfDeath, "
"Francois Hollande, PersonCauseOfDeath, "
"Frank Sinatra, PersonCauseOfDeath, "
"George H. W. Bush, PersonCauseOfDeath, cancer"
"George Harrison, PersonCauseOfDeath, "
"Ginni Rometty, PersonCauseOfDeath, "
"Haruma Miura, PersonCauseOfDeath, "
"Hu Jintao, PersonCauseOfDeath, illness"
"Hugh Hefner, PersonCauseOfDeath, "
"Idriss Déby, PersonCauseOfDeath, "
"Indra Nooyi, PersonCauseOfDeath, "
"Jim Rohn, PersonCauseOfDeath, "
"John Magufuli, PersonCauseOfDeath, "
"Johnny Cash, PersonCauseOfDeath, "
"Larry King, PersonCauseOfDeath, "
"Larry Page, PersonCauseOfDeath, "
"Maurane, PersonCauseOfDeath, "
"Maya Angelou, PersonCauseOfDeath, "
"Melinda Gates, PersonCauseOfDeath, "
"Michelle Obama, PersonCauseOfDeath, cancer"
"Mikhail Zadornov, PersonCauseOfDeath, "
"Miles Davis, PersonCauseOfDeath, "
"Nelson Mandela, PersonCauseOfDeath, "
"Paul Pogba, PersonCauseOfDeath, "
"Pitbull, PersonCauseOfDeath, "
"Richard Dawkins, PersonCauseOfDeath, "
"Rihanna, PersonCauseOfDeath, "
"Rishi Kapoor, PersonCauseOfDeath, "
"Robert Downey Jr., PersonCauseOfDeath, "
"Robert Lewandowsk, PersonCauseOfDeath, "
"Roddy Piper, PersonCauseOfDeath, "
"Ronaldinho, PersonCauseOfDeath, "
"Roy Orbison, PersonCauseOfDeath, "
"Russell Crowe, PersonCauseOfDeath, "
"Sandra Bullock, PersonCauseOfDeath, cancer"
"Ursula von der Leyen, PersonCauseOfDeath, "
"Victoria Beckham, PersonCauseOfDeath, "
"Adam Savage, PersonEmployer, "
"Alexis Ohanian, PersonEmployer, "
"Amber Rudd, PersonEmployer, "
"Aylin Nazlıaka, PersonEmployer, "
"Bill Browder, PersonEmployer, "
"Bob Iger, PersonEmployer, "
"Chelsea Clinton, PersonEmployer, "
"Chris Anderson, PersonEmployer, "
"Chris Sacca, PersonEmployer, "
"Cindy McCain, PersonEmployer, "
"Dana White, PersonEmployer, "
"Devin Nunes, PersonEmployer, "
"Dick Costolo, PersonEmployer, "
"Donny Deutsch, PersonEmployer, "
"Doug Ducey, PersonEmployer, "
"Douglas G. Hurley, PersonEmployer, "
"Edd China, PersonEmployer, "
"François Legault, PersonEmployer, "
"Guido van Rossum, PersonEmployer, "
"Harsh Goenka, PersonEmployer, "
"Heizō Takenaka, PersonEmployer, "
"Joel Spolsky, PersonEmployer, "
"John Doerr, PersonEmployer, "
"John McAfee, PersonEmployer, "
"John Romero, PersonEmployer, "
"Kanye West, PersonEmployer, "
"Karen L. Nyberg, PersonEmployer, "
"Kent Beck, PersonEmployer, "
"Kristalina Georgieva, PersonEmployer, "
"L. Brent Bozell III, PersonEmployer, "
"Lana Rhoades, PersonEmployer, "
"Marcos Pontes, PersonEmployer, "
"Michael Bloomberg, PersonEmployer, "
"Michael J. Massimino, PersonEmployer, "
"Mike Pompeo, PersonEmployer, "
"Muhammad Yunus, PersonEmployer, "
"Naftali Bennett, PersonEmployer, "
"Nandan Nilekani, PersonEmployer, "
"Nicole Stott, PersonEmployer, "
"Oleksandr Turchynov, PersonEmployer, "
"Oprah Winfrey, PersonEmployer, "
"Pedro Duque, PersonEmployer, "
"Reid Hoffman, PersonEmployer, "
"Serena Williams, PersonEmployer, "
"Sergio Melnick, PersonEmployer, "
"Shane Kimbrough, PersonEmployer, "
"Steve Forbes, PersonEmployer, "
"Turki Al-Sheikh, PersonEmployer, "
"Wendell Pierce, PersonEmployer, "
"Wishnutama, PersonEmployer, "
"A. J. McLean, PersonInstrument, "
"Arnel Pineda, PersonInstrument, "
"Bang Yong-guk, PersonInstrument, "
"Billie Joe Armstrong, PersonInstrument, "
"Billy Corgan, PersonInstrument, guitar"
"Björk, PersonInstrument, "
"Byun Baek-hyun, PersonInstrument, "
"Chester Bennington, PersonInstrument, "
"China Anne McClain, PersonInstrument, "
"Cho Kyuhyun, PersonInstrument, "
"Chris Daughtry, PersonInstrument, "
"Corey Taylor, PersonInstrument, "
"Courtney Love, PersonInstrument, "
"Duff McKagan, PersonInstrument, "
"Gary Barlow, PersonInstrument, "
"Gerard Way, PersonInstrument, "
"Heo Young-saeng, PersonInstrument, "
"Hisashi, PersonInstrument, "
"Hwang Chansung, PersonInstrument, "
"Hyomin, PersonInstrument, "
"JAY B, PersonInstrument, "
"Joe Perry, PersonInstrument, "
"John Lennon, PersonInstrument, "
"Joseph Hahn, PersonInstrument, "
"Jun. K, PersonInstrument, "
"Kangin, PersonInstrument, "
"Kim Junsu, PersonInstrument, "
"Lay, PersonInstrument, "
"Lee Jung-shin, PersonInstrument, "
"Logan Henderson, PersonInstrument, "
"Morrissey, PersonInstrument, "
"Nichkhun, PersonInstrument, "
"Nicole Jung, PersonInstrument, "
"Noel Gallagher, PersonInstrument, guitar"
"Park Bom, PersonInstrument, "
"Paul McCartney, PersonInstrument, "
"Rea Garvey, PersonInstrument, "
"Robert Plant, PersonInstrument, "
"Roger Taylor, PersonInstrument, "
"Ronan Keating, PersonInstrument, "
"Sakura Miyawaki, PersonInstrument, "
"Shindong, PersonInstrument, "
"Slash, PersonInstrument, "
"Sting, PersonInstrument, "
"Taeyang, PersonInstrument, "
"Tom Morello, PersonInstrument, "
"Tony Iommi, PersonInstrument, "
"Victoria Beckham, PersonInstrument, "
"Yoshiki, PersonInstrument, "
"Zayn Malik, PersonInstrument, "
"A. R. Rahman, PersonLanguage, English"
"Abdullah Gül, PersonLanguage, Turkish"
"Adele, PersonLanguage, "
"Akon, PersonLanguage, "
"Akshay Kumar, PersonLanguage, Hindi"
"Avril Lavigne, PersonLanguage, French"
"Barack Obama, PersonLanguage, "
"Beyoncé, PersonLanguage, English"
"Bill Clinton, PersonLanguage, "
"Blaise Matuidi, PersonLanguage, French"
"Buzz Aldrin, PersonLanguage, English"
"Donald Trump, PersonLanguage, "
"Donald Tusk, PersonLanguage, "
"Eminem, PersonLanguage, English"
"Emma Watson, PersonLanguage, "
"Genelia D'Souza, PersonLanguage, "
"George Harrison, PersonLanguage, English"
"Henrique Capriles Radonski, PersonLanguage, Portuguese"
"Hugo Chávez, PersonLanguage, "
"Jeremy Renner, PersonLanguage, English"
"Jessie J, PersonLanguage, "
"Jim Carrey, PersonLanguage, English"
"Joe Biden, PersonLanguage, "
"John Cena, PersonLanguage, "
"Jose Michimani, PersonLanguage, English"
"Kobe Bryant, PersonLanguage, "
"Maria Sharapova, PersonLanguage, Russian"
"Mariah Carey, PersonLanguage, English"
"Mick Foley, PersonLanguage, English"
"Miranda Cosgrove, PersonLanguage, English"
"Mohammed bin Rashid Al Maktoum, PersonLanguage, Arabic"
"Novak Djokovic, PersonLanguage, "
"Oscar dos Santos Emboaba Júnior, PersonLanguage, Portuguese"
"Paris Hilton, PersonLanguage, "
"Patrick Stewart, PersonLanguage, English"
"Pau Gasol, PersonLanguage, "
"Paulo Coelho, PersonLanguage, "
"Rafael Nadal, PersonLanguage, Spanish"
"Ricky Gervais, PersonLanguage, English"
"Rihanna, PersonLanguage, English"
"Sachin, PersonLanguage, "
"Salman Khan, PersonLanguage, English"
"Samir Nasri, PersonLanguage, "
"Selena Gomez, PersonLanguage, English"
"Skrillex, PersonLanguage, "
"Thiago Alcântara, PersonLanguage, Portuguese"
"Vladimir Putin, PersonLanguage, Russian"
"Wiz Khalifa, PersonLanguage, English"
"Zac Efron, PersonLanguage, English"
"Zlatan Ibrahimović, PersonLanguage, "
"Abdul Rehman Malik, PersonPlaceOfDeath, "
"Adam West, PersonPlaceOfDeath, "
"Adele, PersonPlaceOfDeath, "
"Alan García, PersonPlaceOfDeath, "
"Alfredo González Flores, PersonPlaceOfDeath, "
"Almudena Grandes, PersonPlaceOfDeath, "
"Anne Rice, PersonPlaceOfDeath, "
"Aretha Franklin, PersonPlaceOfDeath, "
"Avicii, PersonPlaceOfDeath, Rome"
"Benjamin Netanyahu, PersonPlaceOfDeath, "
"Bill Gates, PersonPlaceOfDeath, "
"Boris Johnson, PersonPlaceOfDeath, "
"Cameron Boyce, PersonPlaceOfDeath, "
"Chespirito, PersonPlaceOfDeath, "
"Chick Corea, PersonPlaceOfDeath, "
"Chris Cornell, PersonPlaceOfDeath, "
"Christine Lagarde, PersonPlaceOfDeath, "
"Donald Knuth, PersonPlaceOfDeath, "
"Elijah Cummings, PersonPlaceOfDeath, "
"Emmanuel Macron, PersonPlaceOfDeath, "
"Francois Hollande, PersonPlaceOfDeath, "
"George H. W. Bush, PersonPlaceOfDeath, "
"Ginni Rometty, PersonPlaceOfDeath, "
"Glenn Fredly, PersonPlaceOfDeath, "
"Hu Jintao, PersonPlaceOfDeath, "
"Hugo Chávez, PersonPlaceOfDeath, "
"Indra Nooyi, PersonPlaceOfDeath, "
"John Coltrane, PersonPlaceOfDeath, "
"John Lennon, PersonPlaceOfDeath, "
"Ken Robinson, PersonPlaceOfDeath, "
"Kurt Vonnegut, PersonPlaceOfDeath, "
"Larry Page, PersonPlaceOfDeath, "
"Melinda Gates, PersonPlaceOfDeath, "
"Michael Collins, PersonPlaceOfDeath, "
"Michael Jackson, PersonPlaceOfDeath, "
"Michelle Obama, PersonPlaceOfDeath, "
"Paul G. Allen, PersonPlaceOfDeath, "
"Paul Pogba, PersonPlaceOfDeath, "
"Pitbull, PersonPlaceOfDeath, "
"Rachel Caine, PersonPlaceOfDeath, "
"Richard Dawkins, PersonPlaceOfDeath, "
"Rihanna, PersonPlaceOfDeath, "
"Roald Dahl, PersonPlaceOfDeath, "
"Robert Downey Jr., PersonPlaceOfDeath, "
"Robert Lewandowsk, PersonPlaceOfDeath, "
"Ronaldinho, PersonPlaceOfDeath, "
"Russell Crowe, PersonPlaceOfDeath, "
"Sandra Bullock, PersonPlaceOfDeath, "
"Ursula von der Leyen, PersonPlaceOfDeath, "
"Victoria Beckham, PersonPlaceOfDeath, "
"Akon, PersonProfession, "
"Akshay Kumar, PersonProfession, "
"Al Gore, PersonProfession, "
"André-Pierre Gignac, PersonProfession, "
"Ashley Tisdale, PersonProfession, "
"Bryan Cranston, PersonProfession, "
"Calvin Harris, PersonProfession, "
"Chris Brown, PersonProfession, "
"Coco Austin, PersonProfession, "
"Daniel Tosh, PersonProfession, "
"Drake, PersonProfession, "
"Elon Musk, PersonProfession, "
"Enrique Iglesias, PersonProfession, "
"Ezra Klein, PersonProfession, "
"George Harrison, PersonProfession, "
"Harbhajan Singh, PersonProfession, "
"J. K. Rowling, PersonProfession, "
"Jay-Z, PersonProfession, "
"Jim Carrey, PersonProfession, "
"Jose Michimani, PersonProfession, "
"Khloé Kardashian, PersonProfession, "
"Lady Gaga, PersonProfession, "
"Lewis Hamilton, PersonProfession, "
"Ludacris, PersonProfession, "
"Mark Hoppus, PersonProfession, "
"Mark Ruffalo, PersonProfession, "
"Memphis Depay, PersonProfession, "
"Michael Jackson, PersonProfession, "
"Mohamed Morsi, PersonProfession, "
"Narendra Modi, PersonProfession, "
"Nick Jonas, PersonProfession, "
"Patrick Stewart, PersonProfession, "
"Paul McCartney, PersonProfession, "
"Paulo Coelho, PersonProfession, "
"Psy, PersonProfession, "
"Rachel Maddow, PersonProfession, "
"Ricky Martin, PersonProfession, "
"Rob Kardashian, PersonProfession, "
"Robert Downey Jr., PersonProfession, "
"Robin van Persie, PersonProfession, "
"Ronaldinho, PersonProfession, "
"Serena Williams, PersonProfession, "
"Stephen Fry, PersonProfession, "
"Stephen King, PersonProfession, "
"Tiger Woods, PersonProfession, "
"Triple H, PersonProfession, "
"V. V. S. Laxman, PersonProfession, "
"Vladimir Putin, PersonProfession, "
"Zac Efron, PersonProfession, "
"will.i.am, PersonProfession, "
"Alagón river, RiverBasinsCountry, "
"Apurímac river, RiverBasinsCountry, "
"Brenta, RiverBasinsCountry, "
"Büyük Menderes river, RiverBasinsCountry, Turkey"
"Dahme, RiverBasinsCountry, "
"Danube, RiverBasinsCountry, "
"Didi Liakhvi river, RiverBasinsCountry, "
"Dniester, RiverBasinsCountry, Ukraine"
"Donets, RiverBasinsCountry, Ukraine"
"Dordogne, RiverBasinsCountry, France"
"Gadar river, RiverBasinsCountry, "
"Gambia river, RiverBasinsCountry, "
"Han river, RiverBasinsCountry, China"
"Iguazu river, RiverBasinsCountry, Brazil"
"Inn, RiverBasinsCountry, "
"Japurá river, RiverBasinsCountry, Brazil"
"Kura river, RiverBasinsCountry, Russia"
"Lielupe, RiverBasinsCountry, "
"Limpopo river, RiverBasinsCountry, "
"Loire, RiverBasinsCountry, France"
"Maritsa, RiverBasinsCountry, Bulgaria"
"Morava, RiverBasinsCountry, "
"Narew, RiverBasinsCountry, Poland"
"Narva river, RiverBasinsCountry, Estonia"
"Neckar, RiverBasinsCountry, Germany"
"Neman, RiverBasinsCountry, "
"Neris, RiverBasinsCountry, "
"Niger river, RiverBasinsCountry, "
"Nizhnyaya Tunguska, RiverBasinsCountry, Russia"
"Oder, RiverBasinsCountry, Poland"
"Ottawa river, RiverBasinsCountry, Canada"
"Paraguay river, RiverBasinsCountry, "
"Pechora, RiverBasinsCountry, Russia"
"Red river of the south, RiverBasinsCountry, "
"Sakarya river, RiverBasinsCountry, "
"San, RiverBasinsCountry, "
"Shatt al-Arab, RiverBasinsCountry, "
"Siret river, RiverBasinsCountry, "
"Someș river, RiverBasinsCountry, Romania"
"Tiber, RiverBasinsCountry, Italy"
"Ticino, RiverBasinsCountry, Switzerland"
"Tisza, RiverBasinsCountry, Hungary"
"Torne river, RiverBasinsCountry, "
"Ural river, RiverBasinsCountry, Russia"
"Uruguay river, RiverBasinsCountry, "
"Ussuri, RiverBasinsCountry, Russia"
"Vézère, RiverBasinsCountry, France"
"Yangtze, RiverBasinsCountry, China"
"Yantra, RiverBasinsCountry, "
"Yellow river, RiverBasinsCountry, China"
"Andalusia, StateSharesBorderState, "
"Auvergne, StateSharesBorderState, "
"Basel-Stadt, StateSharesBorderState, "
"Basilicata, StateSharesBorderState, "
"Basque Autonomous Community, StateSharesBorderState, "
"Bavaria, StateSharesBorderState, the"
"Biobío Region, StateSharesBorderState, "
"Brandenburg, StateSharesBorderState, "
"Canton of Glarus, StateSharesBorderState, "
"Canton of Neuchâtel, StateSharesBorderState, "
"Canton of Schaffhausen, StateSharesBorderState, "
"Canton of Vaud, StateSharesBorderState, "
"Canton of Zug, StateSharesBorderState, "
"Canton of Zürich, StateSharesBorderState, "
"Connecticut, StateSharesBorderState, "
"Drenthe, StateSharesBorderState, "
"Flores Department, StateSharesBorderState, "
"Free Hanseatic City of Bremen, StateSharesBorderState, the"
"French Guiana, StateSharesBorderState, the"
"Fukushima Prefecture, StateSharesBorderState, the"
"Galicia, StateSharesBorderState, "
"Giza Governorate, StateSharesBorderState, the"
"Győr, StateSharesBorderState, "
"Hanoi, StateSharesBorderState, "
"Hesse, StateSharesBorderState, "
"Iowa, StateSharesBorderState, "
"Land of Valencia, StateSharesBorderState, "
"Lombardy, StateSharesBorderState, "
"Los Lagos Region, StateSharesBorderState, "
"Luxembourg District, StateSharesBorderState, "
"Massachusetts, StateSharesBorderState, "
"Nebraska, StateSharesBorderState, "
"New Hampshire, StateSharesBorderState, "
"New Jersey, StateSharesBorderState, "
"O'Higgins Region, StateSharesBorderState, "
"Obwalden, StateSharesBorderState, "
"Ohio, StateSharesBorderState, "
"Päijänne Tavastia, StateSharesBorderState, "
"Rhineland-Palatinate, StateSharesBorderState, "
"Río Negro Department, StateSharesBorderState, "
"Salto Department, StateSharesBorderState, "
"San José Department, StateSharesBorderState, "
"Santiago Metropolitan Region, StateSharesBorderState, "
"Scotland, StateSharesBorderState, "
"Soriano Department, StateSharesBorderState, "
"Tacuarembó Department, StateSharesBorderState, "
"Tavastia Proper, StateSharesBorderState, "
"Tokyo, StateSharesBorderState, "
"Virginia, StateSharesBorderState, "
"Zagreb, StateSharesBorderState, "
